"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"aliases2entrez","aliases2entrez","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.2",NA,NA,"doParallel, limma, utils, org.Hs.eg.db, AnnotationDbi,
parallel, foreach, readr, RCurl",NA,"spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"anndata","anndata","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.7.5.6",NA,"R (>= 3.5.0)","assertthat, Matrix, methods, R6, reticulate (>= 1.17)",NA,"stats, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"annotate","annotate","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.76.0",NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), httr",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, humanCHRLOC, Rgraphviz, RUnit,",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"AnnotationDbi","AnnotationDbi","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.60.2",NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, RUnit,
TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db, reactome.db,
AnnotationForge, graph, EnsDb.Hsapiens.v75, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"AnnotationFilter","AnnotationFilter","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.22.0",NA,"R (>= 3.4.0)","utils, methods, GenomicRanges, lazyeval",NA,"BiocStyle, knitr, testthat, RSQLite, org.Hs.eg.db, rmarkdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"AnnotationHub","AnnotationHub","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.6.0",NA,"BiocGenerics (>= 0.15.10), BiocFileCache (>= 1.5.1)","utils, methods, grDevices, RSQLite, BiocManager, BiocVersion,
curl, rappdirs, AnnotationDbi (>= 1.31.19), S4Vectors,
interactiveDisplayBase, httr, yaml, dplyr",NA,"IRanges, GenomicRanges, GenomeInfoDb, VariantAnnotation,
Rsamtools, rtracklayer, BiocStyle, knitr, AnnotationForge,
rBiopaxParser, RUnit, GenomicFeatures, MSnbase, mzR,
Biostrings, SummarizedExperiment, ExperimentHub, gdsfmt,
rmarkdown, HubPub","AnnotationHubData","Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"anytime","anytime","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"ape","ape","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","5.7-1",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp
(>= 0.12.0), digest","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"aplot","aplot","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.0",NA,"R (>= 4.1.0)","ggfun (>= 0.1.1), ggplot2, ggplotify, patchwork, magrittr,
methods, utils",NA,"ggtree",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"arm","arm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.13-1",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,"GPL (> 2)",NA,NA,NA,NA,"no","4.2.0"
"arrow","arrow","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","13.0.0",NA,"R (>= 3.4)","assertthat, bit64 (>= 0.9-7), glue, methods, purrr, R6, rlang
(>= 1.0.0), stats, tidyselect (>= 1.0.0), utils, vctrs","cpp11 (>= 0.4.2)","blob, cli, DBI, dbplyr, decor, distro, dplyr, duckdb (>=
0.2.8), hms, jsonlite, knitr, lubridate, pillar, pkgload,
reticulate, rmarkdown, stringi, stringr, sys, testthat (>=
3.1.0), tibble, tzdb, withr",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.2.0"
"askpass","askpass","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"assertthat","assertthat","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"AUCell","AUCell","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.20.2",NA,NA,"DelayedArray, DelayedMatrixStats, data.table, graphics,
grDevices, GSEABase, Matrix, methods, mixtools, R.utils, shiny,
stats, SummarizedExperiment, BiocGenerics, utils",NA,"Biobase, BiocStyle, doSNOW, dynamicTreeCut, DT, GEOquery,
knitr, NMF, plyr, R2HTML, rmarkdown, reshape2, plotly, rbokeh,
Rtsne, testthat, zoo","doMC, doRNG, doParallel, foreach","GPL-3",NA,NA,NA,NA,"no","4.2.2"
"babelgene","babelgene","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","22.9",NA,"R (>= 3.4)","dplyr, methods, rlang",NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"babelwhale","babelwhale","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,"R (>= 3.0.0)","crayon, dplyr, fs, dynutils, processx (>= 3.5.0), purrr,
utils, digest, glue",NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"backports","backports","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"base","base","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,NA,NA,"methods",NA,"Part of R 4.2.1",NA,NA,NA,NA,NA,"4.2.1"
"base64enc","base64enc","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"base64url","base64url","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4",NA,NA,"backports (>= 1.1.0)",NA,"base64enc, checkmate, knitr, microbenchmark, openssl,
rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"basilisk","basilisk","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.10.2",NA,NA,"utils, methods, parallel, reticulate, dir.expiry,
basilisk.utils",NA,"knitr, rmarkdown, BiocStyle, testthat, callr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"basilisk.utils","basilisk.utils","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.10.0",NA,NA,"utils, methods, tools, dir.expiry",NA,"reticulate, knitr, rmarkdown, BiocStyle, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"batchelor","batchelor","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.14.1",NA,"SingleCellExperiment","SummarizedExperiment, S4Vectors, BiocGenerics, Rcpp, stats,
methods, utils, igraph, BiocNeighbors, BiocSingular, Matrix,
DelayedArray, DelayedMatrixStats, BiocParallel, scuttle,
ResidualMatrix, ScaledMatrix, beachmat","Rcpp","testthat, BiocStyle, knitr, rmarkdown, scran, scater,
bluster, scRNAseq",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"bdsmatrix","bdsmatrix","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3-6",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.2.0"
"beachmat","beachmat","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.14.2",NA,NA,"methods, DelayedArray (>= 0.15.14), BiocGenerics, Matrix, Rcpp","Rcpp","testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"beeswarm","beeswarm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"BH","BH","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.81.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.2.0"
"BiasedUrn","BiasedUrn","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.11",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"biglm","biglm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9-2.1",NA,"DBI, methods",NA,NA,"RSQLite, RODBC","leaps","GPL",NA,NA,NA,NA,"yes","4.2.0"
"Biobase","Biobase","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.58.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"BiocFileCache","BiocFileCache","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.6.1",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, rappdirs,
filelock, curl, httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"BiocGenerics","BiocGenerics","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.44.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
